timestamp,source_ip,destination_ip,source_port,destination_port,protocol,length,flags,rule_based_alert
1762614101.129452,192.168.1.9,104.16.102.112,50123,443,6,66,S,0
1762614101.154881,104.16.102.112,192.168.1.9,443,50123,6,66,SA,0
1762614101.155123,192.168.1.9,104.16.102.112,50123,443,6,54,A,0
1762614101.156982,192.168.1.9,104.16.102.112,50123,443,6,1454,PA,0
1762614101.157541,192.168.1.9,104.16.102.112,50123,443,6,680,PA,0
1762614101.160223,104.16.102.112,192.168.1.9,443,50123,6,54,A,0
1762614102.211456,192.168.1.9,192.168.1.1,60124,53,17,75,,0
1762614102.215887,192.168.1.1,192.168.1.9,53,60124,17,120,,0
1762614102.301992,192.168.1.9,34.107.221.82,50125,443,6,66,S,0
1762614102.330114,34.107.221.82,192.168.1.9,443,50125,6,66,SA,0
1762614102.331556,192.168.1.9,34.107.221.82,50125,443,6,54,A,0
1762614102.332121,192.168.1.9,34.107.221.82,50125,443,6,880,PA,0
1762614104.111478,192.168.1.100,192.168.1.9,12345,80,6,60,S,1
1762614104.112112,192.168.1.100,192.168.1.9,12345,443,6,60,S,1
1762614104.113548,192.168.1.100,192.168.1.9,12345,22,6,60,S,1
1762614104.114336,192.168.1.100,192.168.1.9,12345,3389,6,60,S,1
1762614104.115874,192.168.1.100,192.168.1.9,12345,8080,6,60,S,1
1762614104.116441,192.168.1.100,192.168.1.9,12345,139,6,60,S,1
1762614104.117985,192.168.1.100,192.168.1.9,12345,445,6,60,S,1
1762614105.501112,192.168.1.9,204.79.197.200,50126,443,6,66,S,0
1762614105.531336,204.79.197.200,192.168.1.9,443,50126,6,66,SA,0
1762614105.532741,192.168.1.9,204.79.197.200,50126,443,6,54,A,0
1762614106.701336,192.168.1.150,192.168.1.9,54321,80,6,60,S,1
1762614106.702148,192.168.1.150,192.168.1.9,54322,80,6,60,S,1
1762614106.703551,192.168.1.150,192.168.1.9,54323,80,6,60,S,1
1762614106.704336,192.168.1.150,192.168.1.9,54324,80,6,60,S,1
1762614106.705774,192.168.1.150,192.168.1.9,54325,80,6,60,S,1
1762614106.706213,192.168.1.150,192.168.1.9,54326,80,6,60,S,1
1762614106.707845,192.168.1.150,192.168.1.9,54327,80,6,60,S,1
1762614108.301669,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614108.302331,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614108.303854,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614108.304551,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614108.305126,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614108.306874,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614109.411336,192.168.1.9,172.217.167.74,50127,443,6,66,S,0
1762614109.440411,172.217.167.74,192.168.1.9,443,50127,6,66,SA,0
1762614109.441852,192.168.1.9,172.217.167.74,50127,443,6,54,A,0
1762614109.442651,192.168.1.9,172.217.167.74,50127,443,6,750,PA,0
1762614109.445331,172.217.167.74,192.168.1.9,443,50127,6,54,A,0
1762614110.511874,192.168.1.180,192.168.1.9,-1,-1,ARP,42,,1
1762614110.512632,192.168.1.180,192.168.1.9,-1,-1,ARP,42,,1
1762614110.513447,192.168.1.180,192.168.1.9,-1,-1,ARP,42,,1
1762614112.121336,192.168.1.9,192.168.1.1,60127,53,17,78,,0
1762614112.124851,192.168.1.1,192.168.1.9,53,60127,17,130,,0
1762614113.301884,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614113.302648,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614113.303112,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614113.304558,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614113.305336,192.168.1.170,192.168.1.9,1234,1234,17,1472,,1
1762614114.511474,192.168.1.180,192.168.1.9,-1,-1,ARP,42,,1
1762614114.512336,192.168.1.180,192.168.1.9,-1,-1,ARP,42,,1
